areaNm,hubTatsNm,hubBsicAdres,hubCtgryLclsNm,hubRank,baseYm,mapX,mapY,areaCd,signguCd,signguNm,hubCtgryMclsNm,formatted_text
서울특별시,팔각정북악스카이,서울 종로구 북악산로 2670,관광지,1,202502,126.980649304390720,37.601597640276750,11,11110,종로구,문화관광,[지역] 서울특별시 [장소] 팔각정북악스카이 [카테고리] 관광지
서울특별시,신창시장,서울 도봉구 덕릉로57길 100,관광지,1,202502,127.037560448345000,37.639482498700100,11,11320,도봉구,쇼핑,[지역] 서울특별시 [장소] 신창시장 [카테고리] 관광지
서울특별시,롯데백화점미아점,서울 강북구 도봉로 620,관광지,1,202502,127.030503640574000,37.614642038726000,11,11305,강북구,쇼핑,[지역] 서울특별시 [장소] 롯데백화점미아점 [카테고리] 관광지
서울특별시,NC백화점신구로점,서울 구로구 구로중앙로 1520,관광지,1,202502,126.882825790362000,37.501164213239000,11,11530,구로구,쇼핑,[지역] 서울특별시 [장소] NC백화점신구로점 [카테고리] 관광지
서울특별시,현대백화점천호점,서울 강동구 천호대로 10050,관광지,1,202502,127.124470251801000,37.538883567487600,11,11740,강동구,쇼핑,[지역] 서울특별시 [장소] 현대백화점천호점 [카테고리] 관광지
서울특별시,타임스트림,서울 관악구 신림로 3300,관광지,1,202502,126.930266112394000,37.483888721297200,11,11620,관악구,쇼핑,[지역] 서울특별시 [장소] 타임스트림 [카테고리] 관광지
서울특별시,우림시장,서울 중랑구 망우로62길 524,관광지,1,202502,127.098277597092000,37.597154443555300,11,11260,중랑구,쇼핑,[지역] 서울특별시 [장소] 우림시장 [카테고리] 관광지
서울특별시,노량진수산시장,서울 동작구 노들로 6740,관광지,1,202502,126.937848463373160,37.514746311669290,11,11590,동작구,쇼핑,[지역] 서울특별시 [장소] 노량진수산시장 [카테고리] 관광지
서울특별시,롯데백화점청량리점,서울 동대문구 왕산로 2140,관광지,1,202502,127.047671224242000,37.580739358753000,11,11230,동대문구,쇼핑,[지역] 서울특별시 [장소] 롯데백화점청량리점 [카테고리] 관광지
서울특별시,그랜드워커힐서울,서울 광진구 워커힐로 1770,숙박,1,202502,127.110971310576000,37.555131604694500,11,11215,광진구,숙박,[지역] 서울특별시 [장소] 그랜드워커힐서울 [카테고리] 숙박
서울특별시,현대백화점압구정본점,서울 강남구 압구정로 1650,관광지,1,202502,127.027490810337000,37.527346002885200,11,11680,강남구,쇼핑,[지역] 서울특별시 [장소] 현대백화점압구정본점 [카테고리] 관광지
서울특별시,서울숲,서울 성동구 뚝섬로 2730,관광지,1,202502,127.039283446100000,37.544854567366900,11,11200,성동구,문화관광,[지역] 서울특별시 [장소] 서울숲 [카테고리] 관광지
서울특별시,롯데월드몰,서울 송파구 올림픽로 3000,관광지,1,202502,127.104500080534000,37.513858556462200,11,11710,송파구,쇼핑,[지역] 서울특별시 [장소] 롯데월드몰 [카테고리] 관광지
서울특별시,HDC아이파크몰용산점,서울 용산구 한강대로23길 550,관광지,1,202502,126.964465730843000,37.528965323741400,11,11170,용산구,쇼핑,[지역] 서울특별시 [장소] HDC아이파크몰용산점 [카테고리] 관광지
서울특별시,롯데백화점본점,서울 중구 남대문로 810,관광지,1,202502,126.981760674782000,37.564740800167000,11,11140,중구,쇼핑,[지역] 서울특별시 [장소] 롯데백화점본점 [카테고리] 관광지
서울특별시,신세계백화점강남점,서울 서초구 신반포로 1760,관광지,1,202502,127.004231446895000,37.505025621091600,11,11650,서초구,쇼핑,[지역] 서울특별시 [장소] 신세계백화점강남점 [카테고리] 관광지
서울특별시,롯데백화점노원점,서울 노원구 동일로 14140,관광지,1,202502,127.061113718018000,37.655036401393100,11,11350,노원구,쇼핑,[지역] 서울특별시 [장소] 롯데백화점노원점 [카테고리] 관광지
서울특별시,현대백화점미아점,서울 성북구 동소문로 3150,관광지,1,202502,127.028700446121000,37.608347157757300,11,11290,성북구,쇼핑,[지역] 서울특별시 [장소] 현대백화점미아점 [카테고리] 관광지
서울특별시,김포국제공항국내선,서울 강서구 하늘길 1110,관광지,1,202502,126.802937943025000,37.558926787216900,11,11500,강서구,기타관광,[지역] 서울특별시 [장소] 김포국제공항국내선 [카테고리] 관광지
서울특별시,현대백화점목동점,서울 양천구 목동동로 2570,관광지,1,202502,126.875187349495000,37.526522345501000,11,11470,양천구,쇼핑,[지역] 서울특별시 [장소] 현대백화점목동점 [카테고리] 관광지
서울특별시,망원시장,서울 마포구 포은로8길 140,관광지,1,202502,126.906058951147490,37.556530111308010,11,11440,마포구,쇼핑,[지역] 서울특별시 [장소] 망원시장 [카테고리] 관광지
서울특별시,현대백화점신촌점,서울 서대문구 신촌로 830,관광지,1,202502,126.935820469888000,37.556047078487800,11,11410,서대문구,쇼핑,[지역] 서울특별시 [장소] 현대백화점신촌점 [카테고리] 관광지
서울특별시,현대시티아울렛가산점,서울 금천구 디지털로10길 90,관광지,1,202502,126.889150704584000,37.477642981043700,11,11545,금천구,쇼핑,[지역] 서울특별시 [장소] 현대시티아울렛가산점 [카테고리] 관광지
서울특별시,롯데몰은평점,서울 은평구 통일로 10500,관광지,1,202502,126.917932407595000,37.637676409961200,11,11380,은평구,쇼핑,[지역] 서울특별시 [장소] 롯데몰은평점 [카테고리] 관광지
서울특별시,더현대서울,서울 영등포구 여의대로 1080,관광지,1,202502,126.928293662902000,37.526022727106000,11,11560,영등포구,쇼핑,[지역] 서울특별시 [장소] 더현대서울 [카테고리] 관광지
